"class_name","scientific_name"
"Actinopteri","Tinca tinca"
"Actinopteri","Pseudorasbora"
"Actinopteri","Pseudorasbora parva"
"Actinopteri","Scardinius erythrophthalmus"
"Actinopteri","Abramis brama"
"Actinopteri","Squalius"
"Actinopteri","Rhodeus amarus"
"Actinopteri","Rutilus rutilus"
"Actinopteri","Gobio"
"Actinopteri","Barbatula"
"Actinopteri","Barbatula quignardi"
"Actinopteri","Barbatula barbatula"
"Actinopteri","Zeus faber"
"Actinopteri","Entelurus"
"Actinopteri","Krobia guianensis"
"Chondrichthyes","Alopias vulpinus"
"Chondrichthyes","Lamna nasus"
"Chondrichthyes","Lamna"
"Chondrichthyes","Mustelus"
"Chondrichthyes","Mustelus mustelus"
"Aves","Apus"
"Chondrichthyes","Prionace glauca"
"Holothuroidea","Holothuria forskali"
"Chondrichthyes","Squalus acanthias"
"Chondrichthyes","Leucoraja naevus"
"Chondrichthyes","Leucoraja fullonica"
"Chondrichthyes","Rostroraja alba"
"Chondrichthyes","Raja brachyura"
"Chondrichthyes","Raja montagui"
"Chondrichthyes","Raja undulata"
"Chondrichthyes","Squatina squatina"
"Chondrichthyes","Scyliorhinus"
"Chondrichthyes","Scyliorhinus stellaris"
"Chondrichthyes","Scyliorhinus canicula"
"Amphibia","Pelodytes punctatus"
"Aves","Sterna"
"Aves","Anatinae"
"Aves","Uria"
"Aves","Meleagris gallopavo"
"Aves","Actitis hypoleucos"
"Aves","Larus marinus"
"Aves","Larus"
"Aves","Columba palumbus"
"Chondrichthyes","Dasyatis"
"Chondrichthyes","Dasyatidae"
"Chondrichthyes","Aetomylaeus"
"Actinopteri","Anguilla anguilla"
"Chondrichthyes","Myliobatis"
"Actinopteri","Nemichthys scolopaceus"
"Actinopteri","Echelus"
"Actinopteri","Dalophis imberbis"
"Actinopteri","Ophisurus"
"Polychaeta","Hesionidae"
"Bivalvia","Catillopecten margaritatus"
"Sipuncula","Sipunculus nudus"
"Holothuroidea","Stichopodidae"
"Gastropoda","Calliostoma zizyphinum"
"Gastropoda","Trochidae"
"Insecta","Perlodini"
"Malacostraca","Parasergestes vigilax"
"Actinopteri","Gadoidei"
"Actinopteri","Echiichthys vipera"
"Actinopteri","Gadidae"
"Actinopteri","Molva molva"
"Actinopteri","Molva"
"Actinopteri","Eleginus gracilis"
"Actinopteri","Gadus"
"Actinopteri","Molva dypterygia"
"Actinopteri","Raniceps"
"Actinopteri","Ciliata"
"Actinopteri","Gadiculus"
"Actinopteri","Argyropelecus hemigymnus"
"Actinopteri","Trachinus radiatus"
"Actinopteri","Cirripectes"
"Actinopteri","Beryx decadactylus"
"Actinopteri","Mallotus"
"Actinopteri","Buglossidium"
"Actinopteri","Buglossidium luteum"
"Actinopteri","Soleidae"
"Actinopteri","Dicologlossa cuneata"
"Actinopteri","Astronotus ocellatus"
"Actinopteri","Ophidion rochei"
"Actinopteri","Trisopterus"
"Actinopteri","Pegusa lascaris"
"Actinopteri","Phoxinus"
"Actinopteri","Phoxinus septimaniae"
"Actinopteri","Phoxinus bigerri"
"Actinopteri","Salaria pavo"
"Amphibia","Bufo bufo"
"Amphibia","Lissotriton vulgaris"
"Amphibia","Discoglossus montalentii"
"Amphibia","Triturus cristatus"
"Amphibia","Rana temporaria"
"Aves","Ardea cinerea"
"Amphibia","Ichthyosaura alpestris"
"Amphibia","Rana dalmatina"
"Amphibia","Pelophylax"
"Amphibia","Pelophylax ridibundus"
"Aves","Meleagris"
"Chondrichthyes","Pteroplatytrygon"
"Insecta","Pariaconus"
